title,authors,author_affiliations,publication_year,publication_title,pdf_url,doi,access_status
Learning RGB-D Feature Embeddings for Unseen Object Instance Segmentation,Yu Xiang; Christopher Xie; Arsalan Mousavian; Dieter Fox,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/xiang21a/xiang21a.pdf,,Открыто
Modeling Long-horizon Tasks as Sequential Interaction Landscapes,Soeren Pirk; Karol Hausman; Alexander Toshev; Mohi Khansari,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/pirk21a/pirk21a.pdf,,Открыто
PixL2R: Guiding Reinforcement Learning Using Natural Language by Mapping Pixels to Rewards,Prasoon Goyal; Scott Niekum; Raymond Mooney,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/goyal21a/goyal21a.pdf,,Открыто
Auxiliary Tasks Speed Up Learning Point Goal Navigation,Joel Ye; Dhruv Batra; Erik Wijmans; Abhishek Das,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/ye21a/ye21a.pdf,,Открыто
Learning hierarchical relationships for object-goal navigation,Anwesan Pal; Yiding Qiu; Henrik Christensen,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/pal21a/pal21a.pdf,,Открыто
f-IRL: Inverse Reinforcement Learning via State Marginal Matching,Tianwei Ni; Harshit Sikchi; Yufei Wang; Tejus Gupta; Lisa Lee; Ben Eysenbach,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/ni21a/ni21a.pdf,,Открыто
Iterative Semi-parametric Dynamics Model Learning For Autonomous Racing,Ignat Georgiev; Christoforos Chatzikomis; Timo Voelkl; Joshua Smith; Michael Mistry,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/georgiev21a/georgiev21a.pdf,,Открыто
Learning Predictive Representations for Deformable Objects Using Contrastive Estimation,Wilson Yan; Ashwin Vangipuram; Pieter Abbeel; Lerrel Pinto,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/yan21a/yan21a.pdf,,Открыто
Learning Latent Representations to Influence Multi-Agent Interaction,Annie Xie; Dylan Losey; Ryan Tolsma; Chelsea Finn; Dorsa Sadigh,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/xie21a/xie21a.pdf,,Открыто
Motion Planner Augmented Reinforcement Learning for Robot Manipulation in Obstructed Environments,Jun Yamada; Youngwoon Lee; Gautam Salhotra; Karl Pertsch; Max Pflueger; Gaurav Sukhatme; Joseph Lim; Peter Englert,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/yamada21a/yamada21a.pdf,,Открыто
The EMPATHIC Framework for Task Learning from Implicit Human Feedback,Yuchen Cui; Qiping Zhang; Brad Knox; Alessandro Allievi; Peter Stone; Scott Niekum,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/cui21a/cui21a.pdf,,Открыто
Range Conditioned Dilated Convolutions for Scale Invariant 3D Object Detection,Alex Bewley; Pei Sun; Thomas Mensink; Dragomir Anguelov; Cristian Sminchisescu,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/bewley21a/bewley21a.pdf,,Открыто
High Acceleration Reinforcement Learning for Real-World Juggling with Binary Rewards,Kai Ploeger; Michael Lutter; Jan Peters,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/ploeger21a/ploeger21a.pdf,,Открыто
Guaranteeing Safety of Learned Perception Modules via Measurement-Robust Control Barrier Functions,Sarah Dean; Andrew Taylor; Ryan Cosner; Benjamin Recht; Aaron Ames,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/dean21a/dean21a.pdf,,Открыто
Sim-to-Real Transfer for Vision-and-Language Navigation,Peter Anderson; Ayush Shrivastava; Joanne Truong; Arjun Majumdar; Devi Parikh; Dhruv Batra; Stefan Lee,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/anderson21a/anderson21a.pdf,,Открыто
Interactive Imitation Learning in State-Space,Snehal Jauhri; Carlos Celemin; Jens Kober,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/jauhri21a/jauhri21a.pdf,,Открыто
Keypoints into the Future: Self-Supervised Correspondence in Model-Based Reinforcement Learning,Lucas Manuelli; Yunzhu Li; Pete Florence; Russ Tedrake,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/manuelli21a/manuelli21a.pdf,,Открыто
Model-based Reinforcement Learning for Decentralized Multiagent Rendezvous,Rose Wang; J. Chase Kew; Dennis Lee; Tsang-Wei Lee; Tingnan Zhang; Brian Ichter; Jie Tan; Aleksandra Faust,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/wang21d/wang21d.pdf,,Открыто
Transporter Networks: Rearranging the Visual World for Robotic Manipulation,Andy Zeng; Pete Florence; Jonathan Tompson; Stefan Welker; Jonathan Chien; Maria Attarian; Travis Armstrong; Ivan Krasin; Dan Duong; Vikas Sindhwani; Johnny Lee,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/zeng21a/zeng21a.pdf,,Открыто
Assisted Perception: Optimizing Observations to Communicate State,Siddharth Reddy; Sergey Levine; Anca Dragan,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/reddy21a/reddy21a.pdf,,Открыто
Action-Conditional Recurrent Kalman Networks For Forward and Inverse Dynamics Learning,Vaisakh Shaj; Philipp Becker; Dieter Büchler; Harit Pandya; Niels van Duijkeren; C. James Taylor; Marc Hanheide; Gerhard Neumann,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/shaj21a/shaj21a.pdf,,Открыто
Untangling Dense Knots by Learning Task-Relevant Keypoints,Jennifer Grannen; Priya Sundaresan; Brijen Thananjeyan; Jeffrey Ichnowski; Ashwin Balakrishna; Vainavi Viswanath; Michael Laskey; Joseph Gonzalez; Ken Goldberg,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/grannen21a/grannen21a.pdf,,Открыто
