title,authors,author_affiliations,publication_year,publication_title,pdf_url,doi,access_status
Vid2Robot: End-to-end Video-conditioned Policy Learning with Cross-Attention Transformers,Vidhi Jain; Maria Attarian; Nikhil J Joshi; Ayzaan Wahid; Danny Driess; Quan Vuong; Pannag R Sanketi; Pierre Sermanet; Stefan Welker; Christine Chan; Igor Gilitschenski; Yonatan Bisk; Debidatta Dwibedi,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p052.pdf,,Открыто
Offline Imitation Learning Through Graph Search and Retrieval,Zhao-Heng Yin; Pieter Abbeel,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p054.pdf,,Открыто
RVT-2: Learning Precise Manipulation from Few Demonstrations,Ankit Goyal; Valts Blukis; Jie Xu; Yijie Guo; Yu-Wei Chao; Dieter Fox,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p055.pdf,,Открыто
Imitation Bootstrapped Reinforcement Learning,Hengyuan Hu; Suvir Mirchandani; Dorsa Sadigh,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p056.pdf,,Открыто
Rethinking Robustness Assessment: Adversarial Attacks on Learning-based Quadrupedal Locomotion Controllers,Fan Shi; Chong Zhang; Takahiro Miki; Joonho Lee; Marco Hutter; Stelian Coros,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p057.pdf,,Открыто
Advancing Humanoid Locomotion: Mastering Challenging Terrains with Denoising World Model Learning,Xinyang Gu; Yen-Jen Wang; Xiang Zhu; Chengming Shi; Yanjiang Guo; Yichen Liu; Jianyu Chen,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p058.pdf,,Открыто
Agile But Safe: Learning Collision-Free High-Speed Legged Locomotion,Tairan He; Chong Zhang; Wenli Xiao; Guanqi He; Changliu Liu; Guanya Shi,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p059.pdf,,Открыто
RL2AC: Reinforcement Learning-based Rapid Online Adaptive Control for Legged Robot Robust Locomotion,Shangke Lyu; Xin Lang; Han Zhao; Hongyin Zhang; Pengxiang Ding; Donglin Wang,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p060.pdf,,Открыто
HumanoidBench: Simulated Humanoid Benchmark for Whole-Body Locomotion and Manipulation,Carmelo Sferrazza; Dun-Ming Huang; Xingyu Lin; Youngwoon Lee; Pieter Abbeel,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p061.pdf,,Открыто
MOKA: Open-World Robotic Manipulation through Mark-Based Visual Prompting,Kuan Fang; Fangchen Liu; Pieter Abbeel; Sergey Levine,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p062.pdf,,Открыто
Collaborative Planar Pushing of Polytopic Objects with Multiple Robots in Complex Scenes,Zili Tang; Yuming Feng; Meng Guo,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p063.pdf,,Открыто
AutoMate: Specialist and Generalist Assembly Policies over Diverse Geometries,Bingjie Tang; Iretiayo Akinola; Jie Xu; Bowen Wen; Ankur Handa; Karl Van Wyk; Dieter Fox; Gaurav S. Sukhatme; Fabio Ramos; Yashraj Narang,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p064.pdf,,Открыто
An abstract theory of sensor eventification,Yulin Zhang; Dylan Shell,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p065.pdf,,Открыто
Octopi: Object Property Reasoning with Large Tactile-Language Models,Samson Yu; Lin Kelvin; Anxing Xiao; Jiafei Duan; Harold Soh,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p066.pdf,,Открыто
3D Diffusion Policy: Generalizable Visuomotor Policy Learning via Simple 3D Representations,Yanjie Ze; Gu Zhang; Kangning Zhang; Chenyuan Hu; Muhan Wang; Huazhe Xu,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p067.pdf,,Открыто
HRP: Human affordances for Robotic Pre-training,Mohan Kumar Srirama; Sudeep Dasari; Shikhar Bahl; Abhinav Gupta,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p068.pdf,,Открыто
